Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD1,Mumbai,ABC Institute,1st,Data Science,Instagram
LD2,Mumbai,XYZ University,3rd,Data Science,Whatsapp
LD3,Pune,XYZ University,2nd,AI,College Collaboration
LD4,Delhi,DEF Academy,4th,Robotics,Mass-Mailing
LD5,Mumbai,ABC Institute,2nd,AI,LinkedIn
LD6,Ahmedabad,ABC Institute,4th,AI,Whatsapp
LD7,Ahmedabad,DEF Academy,1st,Data Science,LinkedIn
LD8,Ahmedabad,XYZ University,3rd,Electric Vehicle,Whatsapp
LD9,Surat,ABC Institute,4th,Electric Vehicle,Instagram
LD10,Mumbai,DEF Academy,4th,Robotics,College Collaboration
LD11,Pune,DEF Academy,2nd,AI,LinkedIn
LD12,Ahmedabad,PQR College,4th,Data Science,College Collaboration
LD13,Pune,ABC Institute,4th,AI,Whatsapp
LD14,Surat,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD15,Mumbai,PQR College,3rd,Electric Vehicle,College Collaboration
LD16,Delhi,DEF Academy,3rd,Robotics,LinkedIn
LD17,Surat,ABC Institute,4th,Robotics,College Collaboration
LD18,Ahmedabad,PQR College,3rd,Data Science,Instagram
LD19,Surat,DEF Academy,2nd,Electric Vehicle,Instagram
LD20,Ahmedabad,ABC Institute,4th,AI,Mass-Mailing
LD21,Mumbai,PQR College,1st,AI,Google Form
LD22,Surat,PQR College,4th,Robotics,Mass-Mailing
LD23,Mumbai,PQR College,4th,Data Science,LinkedIn
LD24,Mumbai,ABC Institute,2nd,AI,Google Form
LD25,Surat,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD26,Ahmedabad,PQR College,3rd,Robotics,Mass-Mailing
LD27,Ahmedabad,PQR College,3rd,Electric Vehicle,Google Form
LD28,Delhi,XYZ University,2nd,Data Science,College Collaboration
LD29,Delhi,DEF Academy,1st,Electric Vehicle,Whatsapp
LD30,Pune,PQR College,4th,Robotics,LinkedIn
LD31,Delhi,PQR College,2nd,Robotics,College Collaboration
LD32,Ahmedabad,ABC Institute,4th,Electric Vehicle,Whatsapp
LD33,Pune,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD34,Surat,DEF Academy,4th,Data Science,LinkedIn
LD35,Pune,DEF Academy,2nd,Data Science,Mass-Mailing
LD36,Ahmedabad,DEF Academy,2nd,AI,Google Form
LD37,Delhi,XYZ University,3rd,Data Science,Google Form
LD38,Pune,DEF Academy,4th,Robotics,Google Form
LD39,Surat,PQR College,4th,AI,Google Form
LD40,Delhi,ABC Institute,2nd,Electric Vehicle,Whatsapp
LD41,Surat,ABC Institute,2nd,AI,Mass-Mailing
LD42,Ahmedabad,XYZ University,1st,AI,Mass-Mailing
LD43,Mumbai,XYZ University,4th,Robotics,Mass-Mailing
LD44,Mumbai,XYZ University,3rd,Data Science,College Collaboration
LD45,Ahmedabad,DEF Academy,3rd,AI,College Collaboration
LD46,Pune,ABC Institute,4th,AI,Google Form
LD47,Pune,PQR College,2nd,Robotics,Instagram
LD48,Delhi,PQR College,2nd,AI,Instagram
LD49,Mumbai,PQR College,1st,Electric Vehicle,Whatsapp
LD50,Surat,ABC Institute,2nd,AI,Instagram
LD51,Ahmedabad,DEF Academy,2nd,Robotics,LinkedIn
LD52,Surat,PQR College,2nd,Data Science,Whatsapp
LD53,Surat,XYZ University,2nd,Electric Vehicle,Instagram
LD54,Mumbai,XYZ University,3rd,AI,Whatsapp
LD55,Delhi,DEF Academy,2nd,Electric Vehicle,Google Form
LD56,Mumbai,XYZ University,4th,Robotics,Instagram
LD57,Surat,DEF Academy,3rd,Data Science,Google Form
LD58,Pune,ABC Institute,1st,Robotics,Whatsapp
LD59,Pune,XYZ University,1st,AI,College Collaboration
LD60,Mumbai,PQR College,4th,Robotics,Instagram
LD61,Ahmedabad,PQR College,2nd,Robotics,LinkedIn
LD62,Pune,PQR College,2nd,AI,Google Form
LD63,Mumbai,XYZ University,2nd,Data Science,Mass-Mailing
LD64,Delhi,ABC Institute,3rd,Data Science,Mass-Mailing
LD65,Delhi,PQR College,2nd,Robotics,Instagram
LD66,Pune,DEF Academy,1st,AI,Whatsapp
LD67,Delhi,PQR College,3rd,Robotics,Instagram
LD68,Pune,ABC Institute,3rd,Robotics,LinkedIn
LD69,Pune,ABC Institute,2nd,Electric Vehicle,Mass-Mailing
LD70,Ahmedabad,XYZ University,4th,AI,Instagram
LD71,Pune,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD72,Delhi,PQR College,4th,Electric Vehicle,College Collaboration
LD73,Surat,ABC Institute,4th,Robotics,Whatsapp
LD74,Surat,DEF Academy,3rd,Robotics,Instagram
LD75,Pune,XYZ University,4th,Data Science,LinkedIn
LD76,Delhi,PQR College,1st,Electric Vehicle,Whatsapp
LD77,Surat,DEF Academy,1st,Data Science,LinkedIn
LD78,Mumbai,ABC Institute,2nd,Robotics,Instagram
LD79,Surat,ABC Institute,1st,Electric Vehicle,College Collaboration
LD80,Mumbai,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD81,Ahmedabad,PQR College,2nd,Electric Vehicle,Mass-Mailing
LD82,Delhi,XYZ University,1st,Robotics,Whatsapp
LD83,Delhi,XYZ University,4th,Electric Vehicle,LinkedIn
LD84,Delhi,XYZ University,1st,AI,Mass-Mailing
LD85,Pune,PQR College,2nd,Robotics,Mass-Mailing
LD86,Pune,DEF Academy,2nd,AI,LinkedIn
LD87,Surat,XYZ University,1st,AI,College Collaboration
LD88,Ahmedabad,XYZ University,1st,Electric Vehicle,College Collaboration
LD89,Ahmedabad,DEF Academy,3rd,AI,College Collaboration
LD90,Pune,ABC Institute,2nd,Electric Vehicle,Google Form
LD91,Mumbai,XYZ University,2nd,Robotics,College Collaboration
LD92,Delhi,XYZ University,4th,AI,Google Form
LD93,Delhi,PQR College,2nd,Data Science,Whatsapp
LD94,Ahmedabad,XYZ University,1st,Data Science,Whatsapp
LD95,Mumbai,DEF Academy,4th,Electric Vehicle,Mass-Mailing
LD96,Delhi,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD97,Mumbai,ABC Institute,2nd,Robotics,Mass-Mailing
LD98,Surat,PQR College,3rd,AI,College Collaboration
LD99,Mumbai,PQR College,3rd,AI,Instagram
LD100,Surat,DEF Academy,3rd,AI,College Collaboration
LD101,Ahmedabad,DEF Academy,4th,Robotics,Instagram
LD102,Ahmedabad,XYZ University,3rd,Data Science,Whatsapp
LD103,Mumbai,XYZ University,4th,AI,Mass-Mailing
LD104,Pune,XYZ University,2nd,Robotics,College Collaboration
LD105,Pune,DEF Academy,3rd,Robotics,Instagram
LD106,Surat,ABC Institute,3rd,Robotics,Instagram
LD107,Ahmedabad,ABC Institute,2nd,AI,Whatsapp
LD108,Ahmedabad,PQR College,4th,Robotics,Google Form
LD109,Pune,ABC Institute,1st,Robotics,Google Form
LD110,Pune,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD111,Delhi,ABC Institute,4th,AI,LinkedIn
LD112,Delhi,DEF Academy,4th,AI,Google Form
LD113,Delhi,PQR College,3rd,Data Science,Google Form
LD114,Surat,XYZ University,1st,Electric Vehicle,College Collaboration
LD115,Delhi,DEF Academy,1st,Robotics,Mass-Mailing
LD116,Ahmedabad,PQR College,3rd,Data Science,Google Form
